CodigoDiagnostico;Descripcion
A514;OTRAS SIFILIS SECUNDARIAS
A515;SIFILIS PRECOZ, LATENTE
A519;SIFILIS PRECOZ, SIN OTRA ESPECIFICACIÓN
A520†;SIFILIS CARDIOVASCULAR
A521;NEUROSIFILIS SINTOMATICA
A522;NEUROSIFILIS ASINTOMATICA
A523;NEUROSIFILIS NO ESPECIFICADA
A527;OTRAS SIFILIS TARDIAS SINTOMATICAS
A528;SIFILIS TARDIA, LATENTE
A529;SIFILIS TARDIA, NO ESPECIFICADA
A530;SIFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDIA
A539;SIFILIS, NO ESPECIFICADA
A540;INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLANDULA ACCESORIA
A541;INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS
A542†;PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS
A543;INFECCION GONOCOCICA DEL OJO
A544†;INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR
A545;FARINGITIS GONOCOCICA
A546;INFECCION GONOCOCICA DEL ANO Y DEL RECTO
A548;OTRAS INFECCIONES GONOCOCICAS
A549;INFECCION, GONOCOCICA, NO ESPECIFICADA
A55;LINFOGRANULOMA (VENEREO) POR CLAMIDIAS
A560;INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS
A561†;INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS
A562;INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS, SIN OTRA ESPECIFICACION
A563;INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS
A564;INFECCION DE FARINGE DEBIDA A CLAMIDIAS
A568;INFECCION DE TRANSMISIÓN SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS
A57;CHANCRO BLANDO
A58;GRANULOMA INGUINAL
A590;TRICOMONIASIS UROGENITAL
A598;TRICOMONIASIS DE OTROS SITIOS
A599;TRICOMONIASIS, NO ESPECIFICADA
A600;INFECCION DE GENITALES Y TRAYECTO UROGENITAL Y DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE]
A601;INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE
A609;INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACION
A630;VERRUGAS (VENEREAS) ANOGENITALES
A638;OTRAS ENFERMEDADES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL, ESPECIFICADAS
A64;ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA
A65;SIFILIS NO VENEREA
A660;LESIONES INICIALES DE FRAMBESIA
A661;LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO
A662;OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA
A663;HIPERQUERATOSIS DE FRAMBESIA
A664;GOMA Y ULCERAS DE FRAMBESIA
A665;GANGOSA
A666;LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES
A667;OTRAS MANIFESTACIONES DE FRAMBESIA
A668;FRAMBESIA LATENTE
A669;FRAMBESIA , NO ESPECIFICADA
A670;LESIONES PRIMARIAS DE LA PINTA
A671;LESIONES INTERMEDIAS DE LA PINTA
A672;LESIONES TARDIAS DE LA PINTA
A673;LESIONES MIXTAS DE LA PINTA
A679;PINTA, NO ESPECIFICADA
A680;FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS
A681;FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS
A689;FIEBRE RECURRENTE, NO ESPECIFICADA
A690;ESTOMATITIS ULCERATIVA NECROTIZANTE
A691;OTRAS INFECCIONES DE VICENT
A692;ENFERMEDAD DE LYME
A698;OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS
A699;INFECCION POR ESPIROQUETA, NO ESPECIFICADA
A70;INFECCION DEBIDA A CHLAMYDIA PSITTACI
A710;ESTADO INICIAL DE TRACOMA
A711;ESTADO ACTIVO DE TRACOMA
A719;TRACOMA, NO ESPECIFICADO
A740†;CONJUNTIVITIS POR CLAMIDIAS (H13.1*)
A748;OTRAS ENFERMEDADES POR CLAMIDIAS
A749;INFECCION POR CLAMIDIAS, NO ESPECIFICADA
A750;TIFUS EPIDEMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS
A751;TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL]
A752;TIFUS DEBIDO A RICKETTSIA TYPHI
A753;TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI
A759;TIFUS, NO ESPECIFICADO
A770;FIEBRE MACULOSA DEBIDO A RICKETTSIA RICKETTSII
A771;FIEBRE MACULOSA DEBIDO A RICKETTSIA CONORII
A772;FIEBRE MACULOSA DEBIDO A RICKETTSIA SIBERICA
A773;FIEBRE MACULOSA DEBIDO A RICKETTSIA AUSTRALIS
A778;OTRAS FIEBRES MACULOSAS
A779;FIEBRE MACULOSA, NO ESPECIFICADA
A78;FIEBRE Q
A790;FIEBRE DE LAS TRINCHERAS
A791;RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI
A798;OTRAS RICKETTSIOSIS ESPECIFICADAS
A799;RICKETTSIOSIS, NO ESPECIFICADA
A800;POLIOMIELITIS AGUDA PARALITICA, ASOCIADA A VACUNA
A801;POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE IMPORTADO
A802;POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE AUTOCTONO
A803;OTRAS POLIOMIELITIS AGUDAS PARALITICAS, Y NO LAS ESPECIFICADAS
A804;POLIOMIELITIS AGUDA NO PARALITICA
A809;POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACIÓN
A810;ENFERMEDAD DE CREUTZFELDT-JAKOB
A811;PANENCEFALITIS ESCLEROSANTE SUBAGUDA
A812;LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA
A818;OTRAS INFECCIONES DEL SISTEMA NERVIOSO POR VIRUS ATIPICO
A819;INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO, SIN OTRA ESPECIFICACION
A820;RABIA SELVATICA
A821;RABIA URBANA
A829;RABIA, SIN OTRA ESPECIFICACION
A830;ENCEFALITIS JAPONESA
A831;ENCEFALITIS EQUINA DEL OESTE
A832;ENCEFALITIS EQUINA DEL ESTE
A833;ENCEFALITIS DE SAN LUIS
A834;ENCEFALITIS AUSTRALIANA
A835;ENCEFALITIS DE CALIFORNIA
A836;ENFERMEDAD POR VIRUS ROCIO
A838;OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR MOSQUITOS
A839;ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS, SIN OTRA ESPECIFICACION
A840;ENCEFALITIS DEL LEJANO ORIENTE TRANSMITIDA POR GARRAPATAS [ENCEFALITIS PRIMAVEROESTIVAL RUSA]
A841;ENCEFALITIS CENTROEUROPEA TRANSMITIDA POR GARRAPATAS
A848;OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR GARRAPATAS
A849;ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS, SIN OTRA ESPECIFICACION
A850†;ENCEFALITIS ENTEROVIRAL (G05.1*)
A851†;ENCEFALITIS POR ADENOVIRUS (G05.1*)
A852;ENCEFALITIS VIRAL TRANSMITIDA POR ARTROPODOS, SIN OTRA ESPECIFICACIÓN
A858;OTRAS ENCEFALITIS VIRALES ESPECIFICADAS
A86;ENCEFALITIS VIRAL, NO ESPECIFICADA
A870†;MENINGITIS ENTEROVIRAL (G02.0*)
A871†;MENINGITIS DEBIDA A ADENOVIRUS (G02.0*)
A872;CORIOMENINGITIS LINFOCITICA
A878;OTRAS MENINGITIS VIRALES
A879;MENINGITIS VIRAL, SIN OTRA ESPECIFICACION
A880;FIEBRE EXANTEMATICA ENTEROVIRAL [EXANTEMA DE BOSTON]
A881;VERTIGO EPIDEMICO
A888;OTRAS INFECCIONES VIRALES ESPECIFICADAS DEL SISTEMA NERVIOSO CENTRAL
A89;INFECCION VIRAL DEL SISTEMA NERVIOSO CENTRAL, NO ESPECIFICADA
A90;FIEBRE DEL DENGUE [DENGUE CLASICO]
A91;FIEBRE DEL DENGUE HEMORRAGICO
A920;ENFERMEDAD POR VIRUS CHIKUNGUNYA
A921;FIEBRE DE O´NYONG-NYONG
A922;FIEBRE EQUINA VENEZOLANA
A923;FIEBRE DEL OESTE DEL NILO
A924;FIEBRE DEL VALLE DEL RIFT
A928;OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR MOSQUITOS
A929;FIEBRE VIRAL TRANSMITIDA POR MOSQUITO, SIN OTRA ESPECIFICACION
A930;ENFERMEDAD POR VIRUS DE OROPOUCHE
A931;FIEBRE TRANSMITIDA POR FLEBOTOMOS
A932;FIEBRE DE COLORADO TRANSMITIDA POR GARRAPATAS
A938;OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR ANTROPODOS
A94;FIEBRE VIRAL TRANSMITIDA POR ARTROPODOS, NO ESPECIFICADA
A950;FIEBRE AMARILLA SELVATICA
A951;FIEBRE AMARILLA URBANA
A959;FIEBRE AMARILLA, NO ESPECIFICADA
A960;FIEBRE HEMORRAGICA DE JUNIN
A961;FIEBRE HEMORRAGICA DE MACHUPO
A962;FIEBRE DE LASSA
A968;OTRAS FIEBRES HEMORRAGICAS POR ARENAVIRUS
A969;FIEBRE HEMORRAGICA POR ARENAVIRUS, SIN OTRA ESPECIFICACION
A980;FIEBRE HEMORRAGICA DE CRIMEA-CONGO
A981;FIEBRE HEMORRAGICA DE OMSK
A982;ENFERMEDAD DE LA SELVA DE KYASANUR
A983;ENFERMEDAD POR EL VIRUS DE MARBURG
A984;ENFERMEDAD POR EL VIRUS DE EBOLA
A985;FIEBRES HEMORRAGICAS CON SINDROME RENAL
A988;OTRAS FIEBRES HEMORRAGICAS VIRALES ESPECIFICADAS
A99;FIEBRE VIRAL HEMORRAGICA, NO ESPECIFICADA
B000;ECZEMA HERPETICO
B001;DERMATITIS VESICULAR HERPETICA
B002;GINGIVOESTOMATITIS Y FARINGOAMIGDALITIS HERPETICA
B003†;MENINGITIS HERPETICA (G02.0*)
B004†;ENCEFALITIS HERPETICA (G05.1*)
B005;OCULOPATIA HERPETICA
B007;ENFERMEDAD HERPETICA DISEMINADA
B008;OTRAS FORMAS DE INFECCIONES HERPETICAS
B009;INFECCION DEBIDA A EL VIRUS DEL HERPES, NO ESPECIFICADA
B010†;MENINGITIS DEBIDA A LA VARICELA (G02.0*)
B011†;ENCEFALITIS DEBIDA A LA VARICELA (G05.1*)
B012†;NEUMONIA DEBIDA A LA VARICELA (J17.1*)
B018;VARICELA CON OTRAS COMPLICACIONES
B019;VARICELA SIN COMPLICACIONES
B020†;ENCEFALITIS DEBIDA A HERPES ZOSTER (G05.1*)
B021†;MENINGITIS DEBIDA A HERPES ZOSTER (G02.0*)
B022†;HERPES ZOSTER CON OTROS COMPROMISOS DEL SISTEMA NERVIOSO
B023;HERPES ZOSTER OCULAR
B027;HERPES ZOSTER DISEMINADO
B028;HERPES ZOSTER CON OTRAS COMPLICACIONES
B029;HERPES ZOSTER SIN COMPLICACIONES
B03;VIRUELA
B04;VIRUELA DE LOS MONOS
B050†;SARAMPION COMPLICADO CON ENCEFALITIS (G05.1*)
B051†;SARAMPION COMPLICADO CON MENINGITIS (G02.0*)
B052†;SARAMPION COMPLICADO CON NEUMONIA (J17.1*)
B053†;SARAMPION COMPLICADO CON OTITIS MEDIA (H67.1*)
B054;SARAMPION CON COMPLICACIONES INTESTINALES
B058;SARAMPION CON OTRAS COMPLICACIONES
B059;SARAMPION SIN COMPLICACIONES
B060†;RUBEOLA CON COMPLICACIONES NEUROLOGICAS
B068;RUBEOLA CON OTRAS COMPLICACIONES
B069;RUBEOLA SIN COMPLICACIONES
B07;VERRUGAS VIRICAS
B080;OTRAS INFECCIONES DEBIDAS A ORTOPOXVIRUS
B081;MOLUSCO CONTAGIOSO
B082;EXANTEMA SUBITO [SEXTA ENFERMEDAD]
B083;ERITEMA INFECCIOSO [QUINTA ENFERMEDAD]
B084;ESTOMATITIS VESICULAR ENTEROVIRAL CON EXANTEMA
B085;FARINGITIS VESICULAR ENTEROVIRICA
B088;OTRAS INFECCIONES VIRALES ESPECIFICADAS, CARACTERIZADAS POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS
B09;INFECCION VIRAL NO ESPECIFICADA, CARACTERIZADA POR LESIONES DE LA PIEL Y DE LAS MEMBRANAS MUCOSAS
